event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
13	boulevard de courcelles || Ouverture || Ordonnance du Bureau des finances du 16 janvier 1789	1789-01-16	10063_ouverture	Boulevard de Courcelles	boulevard				transition	attribute	geometry
471	rue regnault || Historique || Précédemment partie du chemin latéral au chemin de fer de Ceinture, entre les rues de Patay et du Château des Rentiers		13170_historique_1	Rue Regnault	rue				transition	attribute	geometry
472	rue regnault || Historique || La partie M a été remise par l'Etat à la Ville de Paris en remplacement d'une partie de la rue du Chevaleret supprimée		13170_historique_2	Rue du Chevaleret	rue				transition	attribute	geometry
472	rue regnault || Historique || La partie M a été remise par l'Etat à la Ville de Paris en remplacement d'une partie de la rue du Chevaleret supprimée		13170_historique_2	Rue Regnault	rue				transition	attribute	geometry
474	rue regnault || Numérotation || Arrêté du 21 août 1952, côté pair, parties B et C	1952-08-21	13170_numérotation	Rue Regnault	rue				numerotation	landmark
475	rue regnault || Ouverture || Décret du 28 décembre 1932 (UP), entre les rues du Château des Rentiers et Nationale (B)	1932-12-28	13170_ouverture_1	Rue Regnault	rue				transition	attribute	geometry
476	rue regnault || Ouverture || Décret du 14 mai 1883 (UP), entre la rue Nationale et l'avenue d'Ivry (C)	1883-05-14	13170_ouverture_2	Rue Regnault	rue				transition	attribute	geometry
477	rue rémy de gourmont || Classement || Décret du 23 juillet 1937	1937-07-23	13183_classement	Rue Rémy de Gourmont	rue				classement	landmark
478	rue rémy de gourmont || Historique || Ouverte sur l'emplacement du stade Bergeyre, dans un lotissement appartenant à M Pélissier		13183_historique_1	Rue Rémy de Gourmont	rue				transition	attribute	geometry
479	rue rémy de gourmont || Historique || Précédemment, rue Rémy et Jean de Gourmont		13183_historique_2	Rue Rémy de Gourmont	rue				transition	attribute	name	rue Rémy et Jean de Gourmont	rue Rémy de Gourmont
480	rue rémy de gourmont || Ouverture || Ouverte en 1927 (Arrêté du 20 août 1926)	1927	13183_ouverture	Rue Rémy de Gourmont	rue				transition	attribute	geometry
481	cité du rendez-vous || Classement || Arrêté municipal du 15 juin 1993	1993-06-15	13188_classement	Cité du Rendez-Vous	cité				classement	landmark
482	place de la république || Classement || Délibération municipale du 26 et 27 septembre 2011	2011-09-27	13204_classement	Place de la République	place				classement	landmark
483	place de la république || Dénomination || Arrêté du 4 mai 1879	1879-05-04	13204_dénomination	Place de la République	place				transition	attribute	name		place de la République
484	place de la république || Historique || Précédemment place du Château d'Eau		13204_historique	Place de la République	place				transition	attribute	name	place du Château d'Eau	place de la République
485	place richard baret || Dénomination || Arrêté du 8 novembre 1976	1976-11-08	13225_dénomination	Place Richard Baret	place				transition	attribute	name		place Richard Baret
486	rue de richelieu || Historique || Cette voie reçut, lors de son ouverture, le nom de rue Royale et, peu après, celui de Richelieu		13230_historique_1	Rue de Richelieu	rue				transition	attribute	name	rue Royale	rue de Richelieu
488	rue de richelieu || Historique || en 1806, elle reprit le nom de Richelieu	1806	13230_historique_3	Rue de Richelieu	rue				transition	attribute	name		rue de Richelieu
489	rue de richelieu || Ouverture || Arrêt du Conseil du Roi du 23 novembre 1633, entre la place Colette et la rue Feydeau (porte de Richelieu)	1633-11-23	13230_ouverture_1	Rue de Richelieu	rue				transition	attribute	geometry
490	rue de richelieu || Ouverture || Arrêt du Conseil du Roi du 18 octobre 1704, le surplus	1704-10-18	13230_ouverture_2	Rue de Richelieu	rue				transition	attribute	geometry
491	rue de rigny || Dénomination || Décret du 24 août 1864	1864-08-24	13239_dénomination	Rue de Rigny	rue				transition	attribute	name		rue de Rigny
492	rue de rigny || Historique || Précédemment, rue Saint-Michel		13239_historique	Rue de Rigny	rue				transition	attribute	name	rue Saint-Michel	rue Saint-Hyacinthe
493	rue de rigny || Ouverture || Ouverte en 1788	1788	13239_ouverture	Rue de Rigny	rue				transition	attribute	geometry
494	rue robert estienne || Classement || Décret du 12 juin 1911	1911-06-12	13252_classement	Rue Robert Estienne	rue				classement	landmark
495	rue robert estienne || Dénomination || Arrêté du 30 août 1884	1884-08-30	13252_dénomination	Rue Robert Estienne	rue				transition	attribute	name		rue Robert Estienne
496	rue robert estienne || Historique || Ouverte et cédée à la Ville de Paris par la Société du quartier Marbeuf, suivant contrat du 22 octobre 1885	1885-10-22	13252_historique	Rue Robert Estienne	rue				transition	attribute	geometry
497	rue robert estienne || Numérotation || Arrêté du 13 octobre 1884	1884-10-13	13252_numérotation	Rue Robert Estienne	rue				numerotation	landmark
498	rue robert estienne || Ouverture || Ouverte en 1883	1883	13252_ouverture	Rue Robert Estienne	rue				transition	attribute	geometry
499	rue roger verlomme || Dénomination || Arrêté du 3 février 1954, partie A	1954-02-03	13285_dénomination_1	Rue Roger Verlomme	rue				transition	attribute	name		rue Roger Verlomme
500	rue roger verlomme || Dénomination || Arrêté du 13 avril 1965, partie B	1965-04-13	13285_dénomination_2	Rue Roger Verlomme	rue				transition	attribute	name		rue Roger Verlomme
501	rue roger verlomme || Historique || Partie A : précédemment, rue Etienne Marcel prolongée, ouverte sur l'emplacement de l'ancien hôpital Andral		13285_historique_1	Rue Etienne Marcel prolongée	rue				disappearance	landmark
501	rue roger verlomme || Historique || Partie A : précédemment, rue Etienne Marcel prolongée, ouverte sur l'emplacement de l'ancien hôpital Andral		13285_historique_1	Rue Roger Verlomme	rue				transition	attribute	geometry
502	rue roger verlomme || Historique || Partie B, précédemment, impasse de Béarn, antérieurement, impasse des Hospitalières et plus anciennement partie de la rue du Foin		13285_historique_2	Impasse de Béarn	impasse				disappearance	landmark
502	rue roger verlomme || Historique || Partie B, précédemment, impasse de Béarn, antérieurement, impasse des Hospitalières et plus anciennement partie de la rue du Foin		13285_historique_2	Rue Roger Verlomme	rue				transition	attribute	geometry
503	rue roger verlomme || Numérotation || Arrêté du 10 octobre 1969	1969-10-10	13285_numérotation	Rue Roger Verlomme	rue				numerotation	landmark
504	rue roger verlomme || Ouverture || Partie A ouverte en 1907	1907	13285_ouverture	Rue Roger Verlomme	rue				transition	attribute	geometry
505	square roland garros || Dénomination || Voie dénommée en 1928	1928	13293_dénomination	Square Roland Garros	square				transition	attribute	name		square Roland Garros
506	square roland garros || Ouverture || Arrêté du 20 avril 1928	1928-04-20	13293_ouverture	Square Roland Garros	square				transition	attribute	geometry
507	rue des rondonneaux || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	13305_classement_1	Rue des Rondonneaux	rue				classement	landmark
508	rue des rondonneaux || Classement || Précédemment sentier rural de l'ancienne commune de Charonne		13305_classement_2	Rue des Rondonneaux	rue	Charonne	municipality	within	disappearance	relation
509	rue des rondonneaux || Dénomination || Arrêté du 31 août 1880	1880-08-31	13305_dénomination	Rue des Rondonneaux	rue				transition	attribute	name		rue des Rondonneaux
510	rue des rondonneaux || Historique || Précédemment, rue des Audriettes et, plus anciennement, partie du sentier du Centre de la Cour des Noues		13305_historique_1	Rue des Rondonneaux	rue				transition	attribute	name	rue des Audriettes	rue de Bagnolet
512	rue des rondonneaux || Numérotation || Arrêté du 30 janvier 1877	1877-01-30	13305_numérotation	Rue des Rondonneaux	rue				numerotation	landmark
513	rue ronsard || Dénomination || Décret du 10 février 1875	1875-02-10	13306_dénomination	Rue Ronsard	rue				transition	attribute	name		rue Ronsard
514	rue ronsard || Ouverture || Décret du 11 août 1867 (UP)	1867-08-11	13306_ouverture	Rue Ronsard	rue				transition	attribute	geometry
515	square rosny aîné || Dénomination || Arrêté du 21 mai 1956	1956-05-21	13317_dénomination	Square Rosny Aîné	square				transition	attribute	name		square Rosny Aîné
516	square rosny aîné || Historique || Ouvert par la SGIM, preneur à bail		13317_historique	Square Rosny Aîné	square				transition	attribute	geometry
517	square rosny aîné || Ouverture || Ouvert en 1956	1956	13317_ouverture	Square Rosny Aîné	square				transition	attribute	geometry
518	place de la rotonde || Dénomination || Arrêté municipal du 26 août 1985	1985-08-26	13320_dénomination	Place de la Rotonde	place				transition	attribute	name		place de la Rotonde
519	place de la rotonde || Historique || Place créée lors de l'aménagement du secteur ouest des Halles		13320_historique	Place de la Rotonde	place				appearance	landmark
520	place de roubaix || Dénomination || Arrêté municipal du 9 janvier 1987	1987-01-09	13323_dénomination	Place de Roubaix	place				transition	attribute	name		place de Roubaix
521	rue rouelle || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	13325_classement_1	Rue Rouelle	rue				classement	landmark
522	rue rouelle || Classement || Précédemment, voie de l'ancienne commune de Grenelle		13325_classement_2	Rue Rouelle	rue	Grenelle	municipality	within	classement	landmark
523	rue rouelle || Dénomination || Décret du 24 août 1864	1864-08-24	13325_dénomination	Rue Rouelle	rue				transition	attribute	name		rue Rouelle
524	rue rouelle || Historique || Précédemment, rue de l'Entrepôt		13325_historique_1	Rue Rouelle	rue				transition	attribute	name	rue de l'Entrepôt	rue Rouvet
525	rue rouelle || Historique || La partie de la voie située entre le quai de Grenelle, 47 et la rue Emeriau, 26 a été nommée place de Brazzaville		13325_historique_2	Rue Rouelle	rue				transition	attribute	name		place de Brazzaville
526	rue rouelle || Ouverture || Arrêté du 10 janvier 1972, parties A et B	1972-01-10	13325_ouverture	Rue Rouelle	rue				transition	attribute	geometry
527	rue rouvet || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	13334_classement_1	Rue Rouvet	rue				classement	landmark
528	rue rouvet || Classement || Précédemment, voie de l'ancienne commune de la Villette		13334_classement_2	Rue Rouvet	rue	La Villette	municipality	within	classement	landmark
529	rue rouvet || Dénomination || Décret du 24 août 1864	1864-08-24	13334_dénomination	Rue Rouvet	rue				transition	attribute	name		rue Rouvet
530	rue rouvet || Historique || Précédemment, rue de Calais		13334_historique_1	Rue Rouvet	rue				transition	attribute	name	rue de Calais	rue Goethe
532	place de rungis || Dénomination || Arrêté du 30 août 1884	1884-08-30	13349_dénomination	Place de Rungis	place				transition	attribute	name		place de Rungis
533	place de rungis || Historique || Précédemment place Barrault		13349_historique	Place de Rungis	place				transition	attribute	name	place Barrault	place de Rungis
534	place de rungis || Numérotation || Arrêté du 26 août 1976	1976-08-26	13349_numérotation	Place de Rungis	place				numerotation	landmark
535	place rutebeuf || Dénomination || Arrêté municipal du 21 décembre 1988	1988-12-21	13351_dénomination	Place Rutebeuf	place				transition	attribute	name		place Rutebeuf
536	place rutebeuf || Historique || Elle avait été provisoirement dénommée AZ/12 lors de l'aménagement de la ZAC Chalon		13351_historique	Place Rutebeuf	place				transition	attribute	name	voie AZ/12	place Rutebeuf
538	rue des saussaies || Historique || Elle a aussi été appelée ruelle Baudet, rue de la Couldraie et chemin de la Saussaie		13392_historique_2	Rue des Saussaies	rue				transition	attribute	name	ruelle Baudet
539	rue sédillot || Classement || Décret du 3 novembre 1897	1897-11-03	13418_classement	Rue Sédillot	rue				classement	landmark
540	rue sédillot || Dénomination || Arrêté du 10 juin 1897	1897-06-10	13418_dénomination	Rue Sédillot	rue				transition	attribute	name		rue Sédillot
541	rue sédillot || Historique || Ouverte sur l'emplacement de l'hôpital du Gros Caillou		13418_historique	Rue Sédillot	rue				transition	attribute	geometry
542	rue sédillot || Numérotation || Arrêté du 23 mars 1898	1898-03-23	13418_numérotation	Rue Sédillot	rue				numerotation	landmark
543	rue sédillot || Ouverture || Ouverte en 1896	1896	13418_ouverture	Rue Sédillot	rue				transition	attribute	geometry
544	rue de senlis || Classement || Arrêté du 11 octobre 1932	1932-10-11	13427_classement	Rue de Senlis	rue				classement	landmark
545	rue de senlis || Dénomination || Arrêté du 29 janvier 1932	1932-01-29	13427_dénomination	Rue de Senlis	rue				transition	attribute	name		rue de Senlis
546	rue de senlis || Historique || Ouverte par la Ville de Paris sur l'emplacement du bastion 47		13427_historique	Rue de Senlis	rue				transition	attribute	geometry
547	rue du sergent hoff || Classement || Décret du 2 décembre 1909	1909-12-02	13433_classement	Rue du Sergent Hoff	rue				classement	landmark
548	rue du sergent hoff || Dénomination || Arrêté du 28 octobre 1910	1910-10-28	13433_dénomination	Rue du Sergent Hoff	rue				transition	attribute	name		rue du Sergent Hoff
549	rue du sergent hoff || Ouverture || Ouverte en 1901	1901	13433_ouverture	Rue du Sergent Hoff	rue				transition	attribute	geometry
550	rue serret || Classement || Arrêté du 18 mars 1931	1931-03-18	13437_classement	Rue Serret	rue				classement	landmark
551	rue serret || Historique || Le nom de Henri Bocquillon a été attribué par arrêté préfectoral du 15 mars 1957 à la partie prolongeant la transition attribute name jusqu'à la rue de la Convention	1957-03-15	13437_historique	Rue Henri Bocquillon	rue				transition	attribute	name		rue Henri Bocquillon
552	rue serret || Ouverture || Ouverte en 1902	1902	13437_ouverture	Rue Serret	rue				transition	attribute	geometry
553	rue singer || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	13464_classement_1	Rue Singer	rue				classement	landmark
554	rue singer || Classement || Précédemment voie de l'ancienne commune de Passy		13464_classement_2	Rue Singer	rue	Passy	municipality	within	disappearance	relation
555	rue soufflot || Historique || La partie A fut dénommée rue Soufflot en 1807	1807	13493_historique_1	Rue Soufflot	rue				transition	attribute	name		rue Soufflot
559	rue soufflot || Numérotation || Arrêté du 15 décembre 1877	1877-12-15	13493_numérotation	Rue Soufflot	rue				numerotation	landmark
560	rue soufflot || Ouverture || Ouverture en 1846, partie B (Ordonnance du 9 août 1826 [larg : 14 m] et ordonnance du 13 mars 1845 [UP])	1826-08-09	13493_ouverture_1	Rue Soufflot	rue				transition	attribute	geometry
561	rue soufflot || Ouverture || La partie A a été créée vers 1760	1760	13493_ouverture_2	Rue Soufflot	rue				transition	attribute	geometry
562	passage saint-bernard || Classement || Arrêté municipal du 20 mai 1994 entre les rues de Candie et Charles Delescluze	1994-05-20	13558_classement_1	Passage Saint-Bernard	passage				classement	landmark
563	passage saint-bernard || Classement || Arrêté municipal du 7 août 1995, entre les rues du Faubourg Saint-Antoine et de Candie	1995-08-07	13558_classement_2	Passage Saint-Bernard	passage				classement	landmark
564	passage saint-bernard || Historique || L'ouverture de la rue Charles Delescluze en 1930 a absorbé la partie du passage Saint-Bernard qui formait retour d'équerre sur la rue Saint-Bernard	1930	13558_historique	Passage Saint-Bernard	passage				transition	attribute	geometry
564	passage saint-bernard || Historique || L'ouverture de la rue Charles Delescluze en 1930 a absorbé la partie du passage Saint-Bernard qui formait retour d'équerre sur la rue Saint-Bernard	1930	13558_historique	Rue Charles Delescluze	rue				transition	attribute	geometry
565	passage saint-bernard || Ouverture || Ouverte en 1854	1854	13558_ouverture	Passage Saint-Bernard	passage				transition	attribute	geometry
566	rue saint-claude || Dénomination || Arrêté du 9 mai 1881	1881-05-09	13573_dénomination	Rue Saint-Claude	rue				transition	attribute	name		rue Saint-Claude
567	rue saint-claude || Historique || Précédemment rue Saint-Claude au Marais		13573_historique_1	Rue Saint-Claude	rue				transition	attribute	name	rue Saint-Claude au Marais	rue Saint-Claude
569	rue saint-claude || Ouverture || Ouverte en 1640	1640	13573_ouverture	Rue Saint-Claude	rue				transition	attribute	geometry
570	rue saint-hyacinthe || Dénomination || Arrêté du 3 mars 1881	1881-03-03	13608_dénomination	Rue Saint-Hyacinthe	rue				transition	attribute	name		rue Saint-Hyacinthe
572	rue saint-hyacinthe || Historique || Créée vers 1650, cette voie est restée à l'état d'impasse jusqu'en 1807 sous les noms de cul-de-sac des Jacobins, puis de cul-de-sac Saint-Hyacinthe	1650	13608_historique_2	Rue Saint-Hyacinthe	rue				appearance	landmark
573	rue saint-hyacinthe || Ouverture || Voie créée vers 1650	1650	13608_ouverture	Rue Saint-Hyacinthe	rue				transition	attribute	geometry
574	impasse saint-pierre || Classement || Arrêté municipal du 2 juillet 1993	1993-07-02	13663_classement	Impasse Saint-Pierre	impasse				classement	landmark
575	rue sainte-isaure || Classement || Arrêté du 22 juillet 1869	1869-07-22	13716_classement	Rue Sainte-Isaure	rue				classement	landmark
576	rue sainte-isaure || Dénomination || Arrêté du 26 février 1867	1867-02-26	13716_dénomination	Rue Sainte-Isaure	rue				transition	attribute	name		rue Sainte-Isaure
577	rue sainte-isaure || Numérotation || Arrêté du 7 mars 1874	1874-03-07	13716_numérotation	Rue Sainte-Isaure	rue				numerotation	landmark
578	impasse sainte-monique || Classement || Arrêté municipal du 9 janvier 1995	1995-01-09	13724_classement	Impasse Sainte-Monique	impasse				classement	landmark
579	impasse sainte-monique || Dénomination || Arrêté du 1er février 1877	1877-02	13724_dénomination	Impasse Sainte-Monique	impasse				transition	attribute	name		impasse Sainte-Monique
580	impasse sainte-monique || Historique || Précédemment avenue et impasse Saint-Augustin		13724_historique_1	Impasse Sainte-Monique	impasse				transition	attribute	name	impasse Saint-Augustin	impasse Sainte-Monique
581	impasse sainte-monique || Historique || La partie située rue des Tennis, 20 a été supprimée		13724_historique_2	Impasse Sainte-Monique	impasse				transition	attribute	geometry
582	place des ternes || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	13763_classement_1	Place des Ternes	place				classement	landmark
583	place des ternes || Classement || Précédemment voie de la commune de Neuilly		13763_classement_2	Place des Ternes	place	Neuilly	municipality	within	classement	landmark
584	place des ternes || Dénomination || Arrêté du 26 décembre 1893	1893-12-26	13763_dénomination	Place des Ternes	place				transition	attribute	name		place des Ternes
585	place des ternes || Historique || Précédemment partie de l'avenue de Wagram		13763_historique_1	Avenue de Wagram	avenue				transition	attribute	geometry
588	place des ternes || Numérotation || Arrêté du 28 avril 1893	1893-04-28	13763_numérotation	Place des Ternes	place				numerotation	landmark
589	place des ternes || Ouverture || Ordonnance du Bureau des Finances du 16 janvier 1789	1789-01-16	13763_ouverture	Place des Ternes	place				transition	attribute	geometry
590	rue thomire || Classement || Arrêté du 11 octobre 1932	1932-10-11	13807_classement	Rue Thomire	rue				classement	landmark
591	rue thomire || Dénomination || Arrêté du 7 décembre 1933	1933-12-07	13807_dénomination	Rue Thomire	rue				transition	attribute	name		rue Thomire
593	rue thomire || Numérotation || Arrêté du 15 février 1934	1934-02-15	13807_numérotation	Rue Thomire	rue				numerotation	landmark
594	rue thomire || Ouverture || Ouverte en 1933	1933	13807_ouverture	Rue Thomire	rue				transition	attribute	geometry
595	rue de tilsitt || Dénomination || Décret du 2 mars 1864	1864-03-02	13819_dénomination	Rue de Tilsitt	rue				transition	attribute	name		rue de Tilsitt
596	rue de tilsitt || Numérotation || Arrêté du 3 octobre 1878	1878-10-03	13819_numérotation	Rue de Tilsitt	rue				numerotation	landmark
597	rue de tilsitt || Ouverture || Décret du 13 août 1854	1854-08-13	13819_ouverture	Rue de Tilsitt	rue				transition	attribute	geometry
598	pont de la tournelle || Classement || Arrêté ministériel du 22 juillet 1988, dans la voirie parisienne (ponts)	1988-07-22	13855_classement	Pont de la Tournelle	pont				classement	landmark
601	rue de trévise || Ouverture || Ordonnance du 11 août 1844, partie A	1844-08-11	13876_ouverture_1	Rue de Trévise	rue				transition	attribute	geometry
602	rue de trévise || Ouverture || Arrêté du 7 août 1939, raccordement circulaire avec la rue de la Boule Rouge	1939-08-07	13876_ouverture_2	Rue de Trévise	rue				transition	attribute	geometry
603	rue de trévise || Ouverture || cet arrêté rapporte les alignements approuvés par l'ordonnance du 11 août 1844, au droit des nos 15 (partie) à 21	1844-08-11	13876_ouverture_3	Rue de Trévise	rue				transition	attribute	geometry
604	rue de trévise || Ouverture || Cette ordonnance limitait à l5 m la hauteur maxima des maisons riveraines		13876_ouverture_4	Rue de Trévise	rue				transition	attribute	geometry
606	rue de trévise || Ouverture || Ord du 14 décembre 1836, entre les rues Richer et Bleue (B)	1836-12-14	13876_ouverture_6	Rue de Trévise	rue				transition	attribute	geometry
607	rue de trévise || Ouverture || Cette ordonnance fixait à 16,50 m la hauteur maxima des maisons riveraines		13876_ouverture_7	Rue de Trévise	rue				transition	attribute	geometry
608	rue de trévise || Ouverture || Décret du 27 août 1859 (UP), entre les rues Bleue et La Fayette (C)	1859-08-27	13876_ouverture_8	Rue de Trévise	rue				transition	attribute	geometry
612	rue des trois portes || Numérotation || Arrêté du 14 novembre 1890, côté impair	1890-11-14	13889_numérotation	Rue des Trois Portes	rue				numerotation	landmark
614	avenue du trône || Historique || Elle a porté le nom d'avenue Santerre pendant la Révolution		13894_historique_2	Avenue du Trône	avenue				transition	attribute	name	avenue du Trône	avenue Santerre
615	rue valentin haüy || Classement || Décret du 23 janvier 1903	1903-01-23	13930_classement	Rue Valentin Haüy	rue				classement	landmark
616	rue valentin haüy || Dénomination || Arrêté du 7 décembre 1900	1900-12-07	13930_dénomination	Rue Valentin Haüy	rue				transition	attribute	name		rue Valentin Haüy
618	rue valentin haüy || Historique || avant son ouverture, un arrêté du 26 décembre 1893 lui avait déjà attribué le nom de Valentin Haüy	1893-12-26	13930_historique_2	Rue Valentin Haüy	rue				transition	attribute	name		rue Valentin Haüy
619	rue valentin haüy || Numérotation || Arrêté du 23 septembre 1902	1902-09-23	13930_numérotation	Rue Valentin Haüy	rue				numerotation	landmark
620	rue valentin haüy || Ouverture || Ouverte en 1900	1900	13930_ouverture	Rue Valentin Haüy	rue				transition	attribute	geometry
621	rue verniquet || Classement || Décret du 23 février 1898	1898-02-23	14006_classement	Rue Verniquet	rue				classement	landmark
622	rue verniquet || Dénomination || Décret du 10 février 1875	1875-02-10	14006_dénomination_1	Rue Verniquet	rue				transition	attribute	name		rue Verniquet
623	rue verniquet || Dénomination || Précédemment partie de la rue Latérale au chemin de fer de ceinture		14006_dénomination_2	Rue Verniquet	rue				transition	attribute	name	rue Latérale au chemin de fer de ceinture	rue Verniquet
624	rue verniquet || Ouverture || Voie formée en même temps que le chemin de fer de Ceinture à la suite d'une décision du ministre des Travaux publics, en date du 28 avril 1866	1866-04-28	14006_ouverture	Rue Verniquet	rue				transition	attribute	geometry
625	rue de villafranca || Classement || Arrêté du 5 août 1968	1968-08-05	14065_classement	Rue de Villafranca	rue				classement	landmark
626	rue villaret de joyeuse || Classement || Décret du 4 février 1911	1911-02-04	14066_classement	Rue Villaret de Joyeuse	rue				classement	landmark
627	rue villaret de joyeuse || Ouverture || Ouverte en 1901	1901	14066_ouverture	Rue Villaret de Joyeuse	rue				transition	attribute	geometry
628	square villaret de joyeuse || Classement || Arrêté du 13 octobre 1967	1967-10-13	14067_classement	Square Villaret de Joyeuse	square				classement	landmark
629	boulevard de la villette || Classement || Décret du 23 mai 1863	1863-05-23	14076_classement_1	Boulevard de la Villette	boulevard				classement	landmark
630	boulevard de la villette || Classement || Précédemment voie des anciennes communes de Belleville et de la Villette		14076_classement_2	Boulevard de la Villette	boulevard	La Villette	municipality	within	classement	landmark
630	boulevard de la villette || Classement || Précédemment voie des anciennes communes de Belleville et de la Villette		14076_classement_2	Boulevard de la Villette	boulevard	Belleville	municipality	within	classement	landmark
631	boulevard de la villette || Dénomination || Arrêté du 10 mai 1851	1851-05-10	14076_dénomination_1	Boulevard de la Villette	boulevard				transition	attribute	name		boulevard de la Villette
632	boulevard de la villette || Dénomination || Arrêté du 30 décembre 1864, réunissant les boulevards de la Chopinette, du Combat et de la Butte Chaumont au boulevard de la Villette	1864-12-30	14076_dénomination_2	Boulevard de la Butte Chaumont	boulevard				disappearance	landmark
632	boulevard de la villette || Dénomination || Arrêté du 30 décembre 1864, réunissant les boulevards de la Chopinette, du Combat et de la Butte Chaumont au boulevard de la Villette	1864-12-30	14076_dénomination_2	Boulevard de la Chopinette	boulevard				disappearance	landmark
632	boulevard de la villette || Dénomination || Arrêté du 30 décembre 1864, réunissant les boulevards de la Chopinette, du Combat et de la Butte Chaumont au boulevard de la Villette	1864-12-30	14076_dénomination_2	Boulevard de la Villette	boulevard				transition	attribute	geometry
632	boulevard de la villette || Dénomination || Arrêté du 30 décembre 1864, réunissant les boulevards de la Chopinette, du Combat et de la Butte Chaumont au boulevard de la Villette	1864-12-30	14076_dénomination_2	Boulevard du Combat	boulevard				disappearance	landmark
635	boulevard de la villette || Historique || En 1945, la partie qui s'étendait depuis l'avenue Secrétan et la rue La Fayette jusqu'à la rue du Faubourg Saint-Martin et le quai de la Seine, a pris le nom de place de Stalingrad puis, en 1993, de place de la Bataille de Stalingrad	1945	14076_historique_4	Place de la Bataille de Stalingrad	place				transition	attribute	name	place de Stalingrad	place de la Bataille de Stalingrad
636	boulevard de la villette || Historique || La partie comprise à l'intersection avec les avenues Claude Vellefaux et Mathurin Moreau, les rues de la Grange aux Belles, Louis Blanc, de Meaux, et Albert Camus a été nommée place du Colonel Fabien		14076_historique_5	Place du Colonel Fabien	place				transition	attribute	name		place du Colonel Fabien
644	boulevard de la villette || Historique || Autrefois boulevard de Bruxelles entre les rues d'Aubervilliers et de Flandre (act. avenue de Flandre).		14076_historique_3	Boulevard de la Villette	boulevard				transition	attribute	geometry
644	boulevard de la villette || Historique || Autrefois boulevard de Bruxelles entre les rues d'Aubervilliers et de Flandre (act. avenue de Flandre).		Boulevard de la Villette	Boulevard de Bruxelles	boulevard				transition	attribute	geometry
645	boulevard de la villette || Ouverture || Ordonnance du Bureau des Finances du 16 janvier 1789	1789-01-16	14076_ouverture	Boulevard de la Villette	boulevard				transition	attribute	geometry
646	avenue vincent d'indy || Dénomination || Arrêté du 17 août 1938	1938-08-17	14087_dénomination	Avenue Vincent d'Indy	avenue				transition	attribute	name		avenue Vincent d'Indy
647	avenue vincent d'indy || Historique || Ouverte par la Ville de Paris		14087_historique	Avenue Vincent d'Indy	avenue				transition	attribute	geometry
648	avenue vincent d'indy || Numérotation || Arrêté du 16 novembre 1938	1938-11-16	14087_numérotation	Avenue Vincent d'Indy	avenue				numerotation	landmark
649	rue visconti || Dénomination || Décret du 24 août 1864	1864-08-24	14101_dénomination	Rue Visconti	rue				transition	attribute	name		rue Visconti
652	rue visconti || Ouverture || Ouverte en 1540	1540	14101_ouverture	Rue Visconti	rue				transition	attribute	geometry
653	square de vivarais || Dénomination || Voie dénommée en 1932	1932	14107_dénomination	Square de Vivarais	square				transition	attribute	name		square de Vivarais
655	square de vivarais || Ouverture || Ouvert en 1932	1932	14107_ouverture	Square de Vivarais	square				transition	attribute	geometry
656	quai voltaire || Dénomination || Arrêté du 4 mai 1791	1791-05-04	14118_dénomination	Quai Voltaire	quai				transition	attribute	name		quai Voltaire
659	quai voltaire || Ouverture || Construit en 1669	1669	14118_ouverture	Quai Voltaire	quai				transition	attribute	geometry
660	rue watteau || Dénomination || Décret impérial du 27 février 1867	1867-02-27	14134_dénomination_1	Rue Watteau	rue				transition	attribute	name		rue Watteau
661	rue watteau || Dénomination || Précédemment rue du Petit Banquier		14134_dénomination_2	Rue Watteau	rue				transition	attribute	name	rue du Petit Banquier	rue Watteau
662	rue watteau || Dénomination || Arrêté municipal du 13 juin 2000	2000-06-13	14134_dénomination_3	Rue Watteau	rue				transition	attribute	name		rue Watteau
663	rue watteau || Historique || Anciennement, la rue Watteau commençait rue du Banquier, et finissait boulevard de l'Hôpital		14134_historique_1	Rue Watteau	rue				transition	attribute	geometry
664	rue watteau || Historique || Une partie de cette voie, partie A, comprise entre les N°1 à 19, a été déclassée par arrêté du 23 août 1968, puis supprimée et englobée dans l'aménagement de l'îlot effectué par l'Office public d'HLM de la Ville de Paris et enfin réouverte sous le nom provisoire EB/13	1968-08-23	14134_historique_2	Rue Watteau	rue				transition	attribute	geometry
667	rue watteau || Historique || La rue Watteau était dénommée, précédemment, rue du Petit Banquier, antérieurement, petite rue du Banquier et, plus anciennement, rue du Petit Bouquet (1816)		14134_historique_5	Rue Watteau	rue				transition	attribute	name	rue du Petit Banquier	rue Watteau
670	rue watteau || Numérotation || Arrêté du 13 juillet 1892	1892-07-13	14134_numérotation	Rue Watteau	rue				numerotation	landmark
671	rue de wattignies || Dénomination || Arrêté du 16 août 1879	1879-08-16	14137_dénomination	Rue de Wattignies	rue				transition	attribute	name		rue de Wattignies
